company_name,pdf_url,sentence_id,sentence,sentence_length,predicted_sentiment,sentiment_score,sentiment_intensity,sentiment_words_count,neutral_indicators_count,actual_sentiment,notes
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,1,"Management Discussion and Analysis 
section and Corporate Governance Report which 
forms an integral part of the Annual Report
14",19,Neutral,0,0.0,0,2,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,2,"AUDITORS & REPORTS:
 A",4,Neutral,0,0.0,0,0,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,3,Statutory Auditors:  M/s,3,Neutral,0,0.0,0,1,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,4,"B S R & Associates 
LLP, Chartered Accountants (ICAI Firm 
Registration No",12,Neutral,0,0.0,0,0,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,5,": 101248W/W-100022), were 
appointed as the Statutory Auditors of the 
Company for a term of five (5) years, from the 
conclusion of the 5th Annual General Meeting 
until the conclusion of the 10th Annual General 
Meeting, to be held in the year 2027",43,Neutral,0,0.0,0,3,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,6,"Pursuant to the provisions of Sections 139 
and 141 of the Act, and the relevant rules 
made there under, the Statutory Auditors 
have confirmed that they are eligible and 
not disqualified to continue as Auditors of 
the Company",38,Neutral,0,0.0,0,3,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,7,"They have also confirmed that 
they have undergone the peer review process 
conducted by the Institute of Chartered 
Accountants of India (ICAI) and hold a valid 
certificate issued by the Peer Review Board of 
the ICAI",36,Neutral,0,0.0,0,3,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,8,"The Auditors’ Report for FY 2024–25 is 
unmodified and does not contain any 
qualification, reservation, adverse remark, 
or disclaimer",19,Neutral,0,0.0,0,0,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,10,"Cost Auditor:  The provisions of Section 148 
of the Companies Act, 2013 (“the Act”), read 
STATUTORY REPORTS32
ANNUAL REPORT 2024-25with Rule 3 of the Companies (Cost Records 
and Audit) Rules, 2014, are not applicable to 
the Company",37,Neutral,0,0.0,0,8,,
Olaelectric,https://cdn.olaelectric.com/sites/evdp/pages/investor/financials/V1/FY25/Ola_Electric_Mobility_Limited_FY25_Annual_Report.pdf?_gl=1*tj44p5*_gcl_au*NzQ3OTczODYwLjE3NTQxNDU2NTk.,11,"Accordingly, the Company was 
not required to and has not appointed a Cost 
Auditor for the financial year under review",20,Neutral,0,0.0,0,5,,
